number,safe_repo,repo_name,archive,repo_id,technology,path
0,porter-dev/porter-archive,porter-dev/porter-archive,porter-dev-porter-archive.tar.gz,297436961.0,opa,internal/opa/policies/nginx/nginx_version.rego
1,suxess-it/kubrix,suxess-it/kubrix,suxess-it-kubriX.tar.gz,776138333.0,kyverno,platform-apps/charts/kyverno/templates/policy-add-label-velero.yaml
2,nulldriver/cf-cli-resource,nulldriver/cf-cli-resource,nulldriver-cf-cli-resource.tar.gz,84623051.0,opa,ci/trivy-ignore.rego
3,xenitab/gatekeeper-library,xenitab/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,opa,library/modifysets/remove-azure-node-spot-taints.yaml
4,c0c0n3/kitt4sme,c0c0n3/kitt4sme,c0c0n3-kitt4sme.tar.gz,340392094.0,opa,poc/deployment/manual/opa/rego/fiware/rsa-key-pair.rego
5,haraldkoch/kochhaus-home,haraldkoch/kochhaus-home,haraldkoch-kochhaus-home.tar.gz,373614328.0,kyverno,kubernetes/main/apps/kyverno/kyverno/policies/add-safe-to-evict.yaml
6,evry-ace/helm-charts,evry-ace/helm-charts,evry-ace-helm-charts.tar.gz,143923640.0,opa,policy/deny.rego
7,kuberise/kuberise.io,kuberise/kuberise.io,kuberise-kuberise.io.tar.gz,670271424.0,kyverno,values/onprem/platform/policy/add-labels.yaml
8,aquasecurity/chain-bench,aquasecurity/chain-bench,aquasecurity-chain-bench.tar.gz,491440930.0,opa,internal/checks/common/assets/utils.rego
9,trevorbox/service-mesh-patterns,trevorbox/service-mesh-patterns,trevorbox-service-mesh-patterns.tar.gz,272547438.0,opa,ossm-2.4/secure-ingressgateway/helm/gatekeeper-constraints/templates/k8srequiredannotations-require-sidecar-annotation.yaml
10,nightprogrammers/devops-research,nightprogrammers/devops-research,NightProgrammers-devops-research.tar.gz,483999776.0,kyverno,flux2/multi-tenants/infrastructure/kyverno-policies/verify-git-repositories.yaml
11,getupcloud/helm-charts,getupcloud/helm-charts,getupcloud-helm-charts.tar.gz,338201759.0,kyverno,charts-dev/kyverno-config/templates/namespaced-resource-limits-pods.yaml
12,azure/shieldguard,azure/shieldguard,Azure-ShieldGuard.tar.gz,563114348.0,opa,docs/manual/samples/001-get-started/policy/001-app-name-required.rego
13,azure/aca-landing-zone-accelerator,azure/aca-landing-zone-accelerator,Azure-aca-landing-zone-accelerator.tar.gz,528897768.0,azure,scenarios/aca-internal/bicep/modules/02-spoke/modules/policy/policy-definitions/aca-no-monitoring.json
14,kubebb/components,kubebb/components,kubebb-components.tar.gz,649660306.0,kyverno,charts/cluster-component/charts/openebs/templates/kyverno/require-user-groups.yaml
15,cisagov/scubagear,cisagov/scubagear,cisagov-ScubaGear.tar.gz,516451110.0,opa,PowerShell/ScubaGear/Testing/Unit/Rego/PowerPlatform/PowerPlatformBaseConfig.rego
16,sighupio/container-signature-enforcer,sighupio/container-signature-enforcer,sighupio-container-signature-enforcer.tar.gz,263376335.0,opa,deployments/helm/opa-notary-connector/opa-config/minio.rego
