repo_name,archive_name,repo_id
porter-dev/porter-archive,porter-dev-porter-archive.tar.gz,297436961
suxess-it/kubriX,suxess-it-kubriX.tar.gz,776138333
sapcc/gatekeeper-addons,sapcc-gatekeeper-addons.tar.gz,355893937
nulldriver/cf-cli-resource,nulldriver-cf-cli-resource.tar.gz,84623051
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143
c0c0n3/kitt4sme,c0c0n3-kitt4sme.tar.gz,340392094
haraldkoch/kochhaus-home,haraldkoch-kochhaus-home.tar.gz,373614328
evry-ace/helm-charts,evry-ace-helm-charts.tar.gz,143923640
kuberise/kuberise.io,kuberise-kuberise.io.tar.gz,670271424
aquasecurity/chain-bench,aquasecurity-chain-bench.tar.gz,491440930
trevorbox/service-mesh-patterns,trevorbox-service-mesh-patterns.tar.gz,272547438
NightProgrammers/devops-research,NightProgrammers-devops-research.tar.gz,483999776
getupcloud/helm-charts,getupcloud-helm-charts.tar.gz,338201759
Azure/ShieldGuard,Azure-ShieldGuard.tar.gz,563114348
Azure/aca-landing-zone-accelerator,Azure-aca-landing-zone-accelerator.tar.gz,528897768
kubebb/components,kubebb-components.tar.gz,649660306
cisagov/ScubaGear,cisagov-ScubaGear.tar.gz,516451110
sighupio/container-signature-enforcer,sighupio-container-signature-enforcer.tar.gz,263376335
Azure/avdaccelerator,Azure-avdaccelerator.tar.gz,447256665
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748
SamYuan1990/Probe,SamYuan1990-Probe.tar.gz,304006367
holaplex/hub-permissions,holaplex-hub-permissions.tar.gz,599965302
clayrisser/charts,clayrisser-charts.tar.gz,148073701
nais/aivenator,nais-aivenator.tar.gz,362436080
gepaplexx/gp-helm-chart-development,gepaplexx-gp-helm-chart-development.tar.gz,436902976
kondukto-io/kntrl,kondukto-io-kntrl.tar.gz,744719396
concourse/ci,concourse-ci.tar.gz,188876851
tenable/terrascan,tenable-terrascan.tar.gz,103084166
binxio/aws-cfn-update,binxio-aws-cfn-update.tar.gz,130357332
hashicorp-services/enablement-terraform-lab-modules,hashicorp-services-enablement-terraform-lab-modules.tar.gz,589152875
oracle-devrel/cd3-automation-toolkit,oracle-devrel-cd3-automation-toolkit.tar.gz,549077250
AlexRogalskiy/javascript-patterns,AlexRogalskiy-javascript-patterns.tar.gz,334891976
open-policy-agent/gatekeeper,open-policy-agent-gatekeeper.tar.gz,154894457
sudoersllc/opsbox-rego,sudoersllc-opsbox-rego.tar.gz,898021546
ismailbay/k8s-dev-stack,ismailbay-k8s-dev-stack.tar.gz,723730906
buvis/clusters,buvis-clusters.tar.gz,449041324
ryan-mcd/gitops-home-cluster,ryan-mcd-gitops-home-cluster.tar.gz,389478954
redhat-cop/gitops-catalog,redhat-cop-gitops-catalog.tar.gz,250591307
open-cluster-management-io/policy-collection,open-cluster-management-io-policy-collection.tar.gz,273075407
ministryofjustice/modernisation-platform-environments,ministryofjustice-modernisation-platform-environments.tar.gz,359745886
Azure/bicep-registry-modules,Azure-bicep-registry-modules.tar.gz,447791597
davidclin/cloudcustodian-policies,davidclin-cloudcustodian-policies.tar.gz,129438014
debate-map/app,debate-map-app.tar.gz,84543105
replicatedhq/kURL,replicatedhq-kURL.tar.gz,198898598
BeryJu/k8s,BeryJu-k8s.tar.gz,347929503
konflux-ci/konflux-test,konflux-ci-konflux-test.tar.gz,470130303
Azure/AzureMonitorStarterPacks,Azure-AzureMonitorStarterPacks.tar.gz,664310472
vinod827/cloudkit-lab,vinod827-cloudkit-lab.tar.gz,327316280
AlexRogalskiy/wotd,AlexRogalskiy-wotd.tar.gz,341210722
Cray-HPE/cray-opa-gatekeeper,Cray-HPE-cray-opa-gatekeeper.tar.gz,365248408
open-policy-agent/library,open-policy-agent-library.tar.gz,101445529
kubesphere/kubesphere,kubesphere-kubesphere.tar.gz,130430977
dlcowen/sansfor509,dlcowen-sansfor509.tar.gz,363507468
axeII/home-ops,axeII-home-ops.tar.gz,383553362
hashicorp/terraform-guides,hashicorp-terraform-guides.tar.gz,110382488
networkservicemesh/sdk,networkservicemesh-sdk.tar.gz,233907159
GoogleCloudPlatform/blueprints,GoogleCloudPlatform-blueprints.tar.gz,322410427
envoyproxy/archive,envoyproxy-archive.tar.gz,697726755
giantswarm/kyverno-app,giantswarm-kyverno-app.tar.gz,349438815
azurenoops/terraform-azurerm-overlays-policy,azurenoops-terraform-azurerm-overlays-policy.tar.gz,607776958
wunderio/charts,wunderio-charts.tar.gz,146619803
marvinbuss/Terraform-LandingZones,marvinbuss-Terraform-LandingZones.tar.gz,614918903
dheerajodha/the-mentalist-quiz,dheerajodha-the-mentalist-quiz.tar.gz,824602382
aws-cloudformation/resource-schema-guard-rail,aws-cloudformation-resource-schema-guard-rail.tar.gz,539651479
mailbadger/app,mailbadger-app.tar.gz,38979597
SAP/InfraBox,SAP-InfraBox.tar.gz,126344645
AlexRogalskiy/proverbs,AlexRogalskiy-proverbs.tar.gz,346359381
JamesWoolfenden/terraform-aws-s3,JamesWoolfenden-terraform-aws-s3.tar.gz,163082476
lenaxia/home-ops-dev,lenaxia-home-ops-dev.tar.gz,547648675
controlplaneio-fluxcd/d1-fleet,controlplaneio-fluxcd-d1-fleet.tar.gz,759751721
MicroAgeServicesOrg/Azure-Lighthouse-deploymentAutomation,MicroAgeServicesOrg-Azure-Lighthouse-deploymentAutomation.tar.gz,591447265
pluralsh/plural-helm-charts,pluralsh-plural-helm-charts.tar.gz,403698924
courselabs/kubernetes,courselabs-kubernetes.tar.gz,356316709
ansible/ansible-policy,ansible-ansible-policy.tar.gz,741470706
jferrater/opa-data-filter-spring-boot-starter,jferrater-opa-data-filter-spring-boot-starter.tar.gz,241153419
Sud1691/azure_repo,Sud1691-azure_repo.tar.gz,804729222
diwise/iot-device-mgmt,diwise-iot-device-mgmt.tar.gz,475952315
chrisns/k8s-opa-boilerplate,chrisns-k8s-opa-boilerplate.tar.gz,362535503
google/gke-policy-automation,google-gke-policy-automation.tar.gz,470366002
tvories/k8s-gitops,tvories-k8s-gitops.tar.gz,379041316
shiblon/entroq,shiblon-entroq.tar.gz,134464022
kubesphere/helm-charts,kubesphere-helm-charts.tar.gz,170423708
cloudposse/terraform-aws-components,cloudposse-terraform-aws-components.tar.gz,131209713
Orange-OpenSource/optisam-backend,Orange-OpenSource-optisam-backend.tar.gz,226081740
linode/apl-core,linode-apl-core.tar.gz,200118806
open-policy-agent/gatekeeper-library,open-policy-agent-gatekeeper-library.tar.gz,191437603
intel/confidential-computing-zoo,intel-confidential-computing-zoo.tar.gz,431727603
SecureHats/SecureHacks,SecureHats-SecureHacks.tar.gz,373569892
osnabrugge/home-ops,osnabrugge-home-ops.tar.gz,618226962
giantswarm/kyverno-policies,giantswarm-kyverno-policies.tar.gz,349133158
Azure/Enterprise-Scale,Azure-Enterprise-Scale.tar.gz,264303818
leoviana00/lab-k8s-prep-cks,leoviana00-lab-k8s-prep-cks.tar.gz,727921561
elastisys/compliantkubernetes-apps,elastisys-compliantkubernetes-apps.tar.gz,308627472
suse-edge/charts,suse-edge-charts.tar.gz,612955300
chef/automate,chef-automate.tar.gz,179318179
DiamondLightSource/workflows,DiamondLightSource-workflows.tar.gz,765668416
elastic/cloud-on-k8s,elastic-cloud-on-k8s.tar.gz,155368246
fahlke/flux-kind,fahlke-flux-kind.tar.gz,520397827
JimGBritt/AzurePolicy,JimGBritt-AzurePolicy.tar.gz,176361514
doitintl/kube-no-trouble,doitintl-kube-no-trouble.tar.gz,254161684
omc-college/management-system,omc-college-management-system.tar.gz,250765606
hashicorp/observability-as-code,hashicorp-observability-as-code.tar.gz,253794809
bcgov/cloud-custodian-policies,bcgov-cloud-custodian-policies.tar.gz,332096163
ViktorUJ/cks,ViktorUJ-cks.tar.gz,592055205
m9sweeper/m9sweeper,m9sweeper-m9sweeper.tar.gz,558915653
confidential-containers/trustee,confidential-containers-trustee.tar.gz,485367944
chaitin/veinmind-tools,chaitin-veinmind-tools.tar.gz,456840037
WorkshopOrgTest/tailspin-spacegame,WorkshopOrgTest-tailspin-spacegame.tar.gz,445033729
portefaix/portefaix-policies,portefaix-portefaix-policies.tar.gz,343191057
operate-first/continuous-delivery,operate-first-continuous-delivery.tar.gz,295382313
ultra-supara/sisakulint,ultra-supara-sisakulint.tar.gz,705494367
nerddotdad/truecharts,nerddotdad-truecharts.tar.gz,841676742
GoogleCloudPlatform/gke-policy-library,GoogleCloudPlatform-gke-policy-library.tar.gz,242189671
EmbarkStudios/opa-policies,EmbarkStudios-opa-policies.tar.gz,310227465
thoth-station/thoth-application,thoth-station-thoth-application.tar.gz,243238665
vmware/dod-compliance-and-automation,vmware-dod-compliance-and-automation.tar.gz,228668958
hatim-khan/abbey-starter-kit-quickstart,hatim-khan-abbey-starter-kit-quickstart.tar.gz,673515086
govuk-one-login/authentication-api,govuk-one-login-authentication-api.tar.gz,370683892
microsoft/genaiscript,microsoft-genaiscript.tar.gz,679784368
controlplaneio/threat-modelling-labs,controlplaneio-threat-modelling-labs.tar.gz,386234570
redhat-cop/rego-policies,redhat-cop-rego-policies.tar.gz,262924542
JamesWoolfenden/terraform-gcp-storage,JamesWoolfenden-terraform-gcp-storage.tar.gz,216853879
grafana/mimir,grafana-mimir.tar.gz,385634291
bacalhau-project/bacalhau,bacalhau-project-bacalhau.tar.gz,424996787
eclipse-symphony/symphony,eclipse-symphony-symphony.tar.gz,738864606
FairwindsOps/charts,FairwindsOps-charts.tar.gz,165707159
RWejlgaard/pez-k8s,RWejlgaard-pez-k8s.tar.gz,576803165
GoogleCloudPlatform/cloud-foundation-toolkit,GoogleCloudPlatform-cloud-foundation-toolkit.tar.gz,179173656
NL-AMS-LOCGOV/zaakafhandelcomponent,NL-AMS-LOCGOV-zaakafhandelcomponent.tar.gz,416646145
orchestracities/anubis,orchestracities-anubis.tar.gz,333055661
cvat-ai/cvat,cvat-ai-cvat.tar.gz,139156354
stackabletech/opa-operator,stackabletech-opa-operator.tar.gz,358257746
artazar/flux2-general,artazar-flux2-general.tar.gz,538765376
cozystack/cozystack,cozystack-cozystack.tar.gz,721858229
DataDog/security-agent-policies,DataDog-security-agent-policies.tar.gz,283871532
mxab/nacp,mxab-nacp.tar.gz,600415546
microsoft/hcsshim,microsoft-hcsshim.tar.gz,38258831
HoussemDellai/ProductsStoreOnKubernetes,HoussemDellai-ProductsStoreOnKubernetes.tar.gz,150493079
kubewarden/unique-ingress-policy,kubewarden-unique-ingress-policy.tar.gz,713310475
fybrik/charts,fybrik-charts.tar.gz,343231747
openshift-4-compliance/openshift-4-compliance-automation,openshift-4-compliance-openshift-4-compliance-automation.tar.gz,347585116
ergho/homelab-ops,ergho-homelab-ops.tar.gz,467248061
kaapana/kaapana,kaapana-kaapana.tar.gz,285529340
scribe-public/gitgat,scribe-public-gitgat.tar.gz,503625714
TheDarthMole/upswake,TheDarthMole-upswake.tar.gz,700580954
AErmie/DevSecOps,AErmie-DevSecOps.tar.gz,341198103
qlonik/musical-parakeet,qlonik-musical-parakeet.tar.gz,563137602
ossf/alpha-omega,ossf-alpha-omega.tar.gz,426394209
replicatedhq/kots-lint,replicatedhq-kots-lint.tar.gz,250063354
intel/policy-library-intel-azure,intel-policy-library-intel-azure.tar.gz,567901738
PacktPublishing/Kubernetes---An-Enterprise-Guide-2E,PacktPublishing-Kubernetes---An-Enterprise-Guide-2E.tar.gz,385792956
portefaix/portefaix-hub,portefaix-portefaix-hub.tar.gz,317845893
phylum-dev/policy,phylum-dev-policy.tar.gz,613628051
mxlint/mxlint-extension,mxlint-mxlint-extension.tar.gz,843111304
h3mmy/bloopySphere,h3mmy-bloopySphere.tar.gz,421941726
CircleCI-Public/circle-policy-agent,CircleCI-Public-circle-policy-agent.tar.gz,506674544
kubewarden/rego-policies-library,kubewarden-rego-policies-library.tar.gz,902887748
trosvald/home-ops,trosvald-home-ops.tar.gz,843308606
TeiaLabs/tauth,TeiaLabs-tauth.tar.gz,681812491
AlexRogalskiy/kotlin-patterns,AlexRogalskiy-kotlin-patterns.tar.gz,321002290
ratify-project/ratify,ratify-project-ratify.tar.gz,395717930
kubev2v/forklift,kubev2v-forklift.tar.gz,534160590
CloudNativeGBB/cluster-baseline,CloudNativeGBB-cluster-baseline.tar.gz,234174778
kokoichi206/til,kokoichi206-til.tar.gz,386217059
Soluto/airbag,Soluto-airbag.tar.gz,120640711
9elements/firmware-action,9elements-firmware-action.tar.gz,593563066
tyconsulting/BlogPosts,tyconsulting-BlogPosts.tar.gz,63512137
cds-snc/opa_checks,cds-snc-opa_checks.tar.gz,406104572
prancer-io/prancer-compliance-test,prancer-io-prancer-compliance-test.tar.gz,264085623
nakamasato/kubernetes-training,nakamasato-kubernetes-training.tar.gz,260809063
tmobile/magtape,tmobile-magtape.tar.gz,235880772
JamesWoolfenden/terraform-aws-cloudfront-s3,JamesWoolfenden-terraform-aws-cloudfront-s3.tar.gz,196768263
secmon-lab/alertchain,secmon-lab-alertchain.tar.gz,385270439
enterprise-contract/ec-policies,enterprise-contract-ec-policies.tar.gz,476408089
JamesWoolfenden/terraform-aws-ecr,JamesWoolfenden-terraform-aws-ecr.tar.gz,164227247
ministryofjustice/analytical-platform,ministryofjustice-analytical-platform.tar.gz,564809052
kyverno/policies,kyverno-policies.tar.gz,317986632
osinfra-io/datadog-organization-management,osinfra-io-datadog-organization-management.tar.gz,800239557
fybrik/airbyte-module,fybrik-airbyte-module.tar.gz,471479644
open-policy-agent/contrib,open-policy-agent-contrib.tar.gz,89408036
aws-cloudformation/cloudformation-guard,aws-cloudformation-cloudformation-guard.tar.gz,271888852
ioggstream/python-course,ioggstream-python-course.tar.gz,16859689
JJGadgets/Biohazard,JJGadgets-Biohazard.tar.gz,480539981
martin77s/Azure,martin77s-Azure.tar.gz,189301782
bradmccoydev/tfval,bradmccoydev-tfval.tar.gz,419918230
erudinsky/Azure-Bicep-Workshop,erudinsky-Azure-Bicep-Workshop.tar.gz,479857395
Jdavid77/home-cluster,Jdavid77-home-cluster.tar.gz,562264143
spiffe/spire-tutorials,spiffe-spire-tutorials.tar.gz,167443151
timebertt/kubernetes-controller-sharding,timebertt-kubernetes-controller-sharding.tar.gz,450856979
open-policy-agent/opa,open-policy-agent-opa.tar.gz,48714685
cdklabs/cdk-validator-cfnguard,cdklabs-cdk-validator-cfnguard.tar.gz,608128360
wkspower/wks-platform,wkspower-wks-platform.tar.gz,525300352
AlexRogalskiy/scala-patterns,AlexRogalskiy-scala-patterns.tar.gz,321002373
aws-cloudformation/community-registry-extensions,aws-cloudformation-community-registry-extensions.tar.gz,N/A
devops-adeel/terraform-vault-secrets-kv,devops-adeel-terraform-vault-secrets-kv.tar.gz,343418806
Azure/OnBoardVMInsights,Azure-OnBoardVMInsights.tar.gz,140773086
department-of-veterans-affairs/bip-archetypetest,department-of-veterans-affairs-bip-archetypetest.tar.gz,681769382
TorStava/k3s-flux-homelab,TorStava-k3s-flux-homelab.tar.gz,634330681
bank-vaults/bank-vaults,bank-vaults-bank-vaults.tar.gz,124260244
weaveworks/policy-library,weaveworks-policy-library.tar.gz,525737008
equinor/radix-platform,equinor-radix-platform.tar.gz,139951489
thibaultserti/kubernetes,thibaultserti-kubernetes.tar.gz,653602692
thecasualcoder/dobby,thecasualcoder-dobby.tar.gz,169595193
USA-RedDragon/home-cluster-flux,USA-RedDragon-home-cluster-flux.tar.gz,675759099
canada-ca/cloud-guardrails-gcp,canada-ca-cloud-guardrails-gcp.tar.gz,322391001
globalbao/azure-policy-as-code,globalbao-azure-policy-as-code.tar.gz,344983232
ministryofjustice/modernisation-platform,ministryofjustice-modernisation-platform.tar.gz,285297257
spacelift-io/terraform-starter,spacelift-io-terraform-starter.tar.gz,307408985
hashicorp-education/learn-terraform-enforce-policies,hashicorp-education-learn-terraform-enforce-policies.tar.gz,261315075
sangkeon/java-opa-wasm,sangkeon-java-opa-wasm.tar.gz,353066403
hmcts/azure-policy,hmcts-azure-policy.tar.gz,368456992
openinfradev/helm-charts,openinfradev-helm-charts.tar.gz,257862896
DiamondLightSource/authz,DiamondLightSource-authz.tar.gz,722963215
Azure/bicep,Azure-bicep.tar.gz,263503250
aquasecurity/starboard,aquasecurity-starboard.tar.gz,247991727
edgelesssys/uplosi,edgelesssys-uplosi.tar.gz,697660407
fabianlee/blogcode,fabianlee-blogcode.tar.gz,87131656
tmaxbi/hyperdata,tmaxbi-hyperdata.tar.gz,357423969
kube-components-stack/kustomization,kube-components-stack-kustomization.tar.gz,499764654
kata-containers/kata-containers,kata-containers-kata-containers.tar.gz,113404957
toboshii/home-ops,toboshii-home-ops.tar.gz,366592227
gettek/terraform-azurerm-policy-as-code,gettek-terraform-azurerm-policy-as-code.tar.gz,326000526
a1994sc/helm,a1994sc-helm.tar.gz,532432660
back-stack/showcase,back-stack-showcase.tar.gz,725736049
loft-sh/jspolicy,loft-sh-jspolicy.tar.gz,363779064
Azure/Microsoft-Defender-for-Cloud,Azure-Microsoft-Defender-for-Cloud.tar.gz,184655500
datreeio/CRDs-catalog,datreeio-CRDs-catalog.tar.gz,464859166
