REPO,archive,technology,path,stars,first_commit,introduced_at,latest_commit,dev_percentage
porter-dev/porter-archive,porter-dev-porter-archive.tar.gz,opa,internal/opa/policies/nginx/nginx_version.rego,4218.0,2020-09-21 15:11:54-04:00,2022-09-13 17:58:53-04:00,2024-05-22 19:03:48+00:00,53.929723240857400
suxess-it/kubrix,suxess-it-kubriX.tar.gz,kyverno,platform-apps/charts/kyverno/templates/policy-add-label-velero.yaml,28.0,2024-03-04 17:18:29+01:00,2024-08-02 12:30:13+02:00,2025-06-27 11:31:59+00:00,31.42097141441490
nulldriver/cf-cli-resource,nulldriver-cf-cli-resource.tar.gz,opa,ci/trivy-ignore.rego,45.0,2017-03-10 22:13:13-06:00,2023-05-26 22:28:04-05:00,2024-10-01 00:04:34+00:00,82.1481526264011
xenitab/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,opa,library/modifysets/remove-azure-node-spot-taints.yaml,13.0,2020-08-10 16:19:48+02:00,2023-01-27 14:38:07+01:00,2023-06-20 08:05:05+00:00,86.22561584851180
c0c0n3/kitt4sme,c0c0n3-kitt4sme.tar.gz,opa,poc/deployment/manual/opa/rego/fiware/rsa-key-pair.rego,2.0,2021-02-19 15:28:51+01:00,2021-04-05 21:48:01+02:00,2023-06-16 07:13:50+00:00,5.3409419400386000
haraldkoch/kochhaus-home,haraldkoch-kochhaus-home.tar.gz,kyverno,kubernetes/main/apps/kyverno/kyverno/policies/add-safe-to-evict.yaml,141.0,2021-06-03 15:06:43-04:00,2023-12-27 11:49:22-05:00,2025-06-10 13:31:55+00:00,63.831950091247800
evry-ace/helm-charts,evry-ace-helm-charts.tar.gz,opa,policy/deny.rego,8.0,2018-08-07 22:28:49+02:00,2019-12-29 21:01:12+01:00,2024-12-12 12:17:41+00:00,21.95151749296010
kuberise/kuberise.io,kuberise-kuberise.io.tar.gz,kyverno,values/onprem/platform/policy/add-labels.yaml,34.0,2023-07-24 19:08:43+02:00,2025-02-27 17:39:23+01:00,2025-05-16 11:16:10+00:00,88.24708183888150
trevorbox/service-mesh-patterns,trevorbox-service-mesh-patterns.tar.gz,gatekeeper,ossm-2.4/secure-ingressgateway/helm/gatekeeper-constraints/templates/k8srequiredannotations-require-sidecar-annotation.yaml,30.0,2020-06-16 10:17:16-07:00,2023-08-16 11:51:18-07:00,2024-06-05 23:34:08+00:00,79.71425368211800
getupcloud/helm-charts,getupcloud-helm-charts.tar.gz,kyverno,charts-dev/kyverno-config/templates/namespaced-resource-limits-pods.yaml,3.0,2021-02-11 23:28:48-03:00,2023-02-06 18:03:14-03:00,2025-06-04 15:59:03+00:00,46.05942452700530
azure/shieldguard,Azure-ShieldGuard.tar.gz,opa,docs/manual/samples/001-get-started/policy/001-app-name-required.rego,9.0,2022-11-07 23:48:22+00:00,2023-01-30 14:03:04-08:00,2025-06-19 23:55:33+00:00,8.788108545729310
azure/aca-landing-zone-accelerator,Azure-aca-landing-zone-accelerator.tar.gz,azure,scenarios/aca-internal/bicep/modules/02-spoke/modules/policy/policy-definitions/aca-no-monitoring.json,197.0,2022-08-25 14:55:07+00:00,2023-07-26 18:39:30+03:00,2025-02-04 17:11:56+00:00,37.47150106222270
kubebb/components,kubebb-components.tar.gz,kyverno,charts/cluster-component/charts/openebs/templates/kyverno/require-user-groups.yaml,4.0,2023-06-06 09:49:22+08:00,2023-07-05 16:46:58+08:00,2024-03-15 06:21:07+00:00,10.342926260769100
cisagov/scubagear,cisagov-ScubaGear.tar.gz,opa,PowerShell/ScubaGear/Testing/Unit/Rego/PowerPlatform/PowerPlatformBaseConfig.rego,2187.0,2022-07-21 12:46:42-04:00,2024-07-18 12:38:32-04:00,2025-06-26 17:18:41+00:00,67.97191705885770
sighupio/container-signature-enforcer,sighupio-container-signature-enforcer.tar.gz,opa,deployments/helm/opa-notary-connector/opa-config/minio.rego,27.0,2020-05-12 17:29:09+02:00,2020-07-24 10:00:53+02:00,2022-08-31 15:31:31+00:00,8.643110779141200
azure/avdaccelerator,Azure-avdaccelerator.tar.gz,azure,workload/policies/zeroTrust/policyDefinitions/policy-definition-es-vm-disk-zero-trust.json,385.0,2022-01-12 09:49:59-05:00,2023-06-13 13:00:26-05:00,2025-06-27 12:36:23+00:00,40.98021216122160
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,gatekeeper,resources/policy/bundles/pss-baseline-v2022/host-namespaces-hostnetwork.yaml,1.0,2023-12-24 18:47:11-05:00,2024-03-27 11:10:42+01:00,2025-06-10 14:21:40+00:00,17.509693209015500
samyuan1990/probe,SamYuan1990-Probe.tar.gz,opa,andLogic.rego,36.0,2020-10-14 20:21:15+08:00,2022-03-24 22:34:03+08:00,2025-06-23 04:39:41+00:00,30.717494556159900
holaplex/hub-permissions,holaplex-hub-permissions.tar.gz,opa,policies/graphql/lib.rego,1.0,2023-02-10 04:22:28-05:00,2023-03-10 18:04:33-03:00,2023-10-18 11:50:24+00:00,11.39034256108460
clayrisser/charts,clayrisser-charts.tar.gz,kyverno,beta/penpot/templates/patches/enable-istio.yaml,14.0,2018-10-07 00:00:00+00:00,2024-01-29 13:30:13+00:00,2024-03-08 09:03:17+00:00,98.03904844114340
nais/aivenator,nais-aivenator.tar.gz,kyverno,charts/aivenator/templates/clusterpolicy.yaml,0.0,2021-04-28 13:01:57+02:00,2023-12-04 15:27:49+01:00,2025-06-06 11:09:29+00:00,63.34264328028730
gepaplexx/gp-helm-chart-development,gepaplexx-gp-helm-chart-development.tar.gz,kyverno,bke-development/gp-cicd-tools/templates/workflows/archive-objectstorage.yaml,2.0,2021-12-10 09:21:04+01:00,2023-06-02 09:32:41+02:00,2025-01-03 11:30:59+00:00,48.11633406057150
kondukto-io/kntrl,kondukto-io-kntrl.tar.gz,opa,bundle/kntrl/custom/custom.rego,116.0,2024-01-18 00:40:27+03:00,2024-04-02 17:18:15+03:00,2025-05-13 08:06:24+00:00,15.722364555766800
concourse/ci,concourse-ci.tar.gz,opa,trivy-ignore/6.7-image.rego,39.0,2019-05-28 10:40:54-04:00,2021-07-14 17:20:45-04:00,2025-06-10 15:46:05+00:00,35.295315045891400
tenable/terrascan,tenable-terrascan.tar.gz,opa,pkg/policies/opa/rego/aws/aws_vpc/defaultVpcExist.rego,4949.0,2017-09-10 23:06:21-04:00,2020-08-09 11:37:19-07:00,2025-05-06 11:08:08+00:00,38.06439341155840
binxio/aws-cfn-update,binxio-aws-cfn-update.tar.gz,cloudformation-guard,samples/config-rule-inline-code/dynamodb-pitr-enabled.guard,16.0,2018-04-20 12:59:02+02:00,2022-11-19 09:34:02+01:00,2024-08-13 13:23:35+00:00,72.55424682235880
hashicorp-services/enablement-terraform-lab-modules,hashicorp-services-enablement-terraform-lab-modules.tar.gz,hashicorp-sentinel,lab-tfc-sentinel-policy/restrict-aws-instances-type.sentinel,3.0,2023-01-15 00:37:38-08:00,2023-04-20 12:54:26-07:00,2025-05-19 21:44:40+00:00,11.15894861555770
oracle-devrel/cd3-automation-toolkit,oracle-devrel-cd3-automation-toolkit.tar.gz,opa,cd3_automation_toolkit/user-scripts/OPA/Logging_Monitoring/default_tags_check.rego,61.0,2022-10-10 11:30:19-05:00,2023-09-06 12:14:23+05:30,2025-05-14 17:40:04+00:00,34.90772897789110
alexrogalskiy/javascript-patterns,AlexRogalskiy-javascript-patterns.tar.gz,opa,policy/kubernetes.rego,1.0,2021-02-01 13:49:42+03:00,2021-08-12 01:08:42+03:00,2025-06-27 02:47:56+00:00,11.917324106993100
open-policy-agent/gatekeeper,open-policy-agent-gatekeeper.tar.gz,opa,demo/mutation/assignimagedemo.yaml,3908.0,2018-10-26 14:05:57-07:00,2023-04-28 05:49:02-07:00,2025-06-09 19:06:36+00:00,68.01949110249410
ismailbay/k8s-dev-stack,ismailbay-k8s-dev-stack.tar.gz,kyverno,kubernetes/apps/kyverno/kyverno/policies/remove-cpu-limits.yaml,0.0,2023-11-25 10:09:13+00:00,2024-11-18 15:45:57+01:00,2025-05-31 00:41:34+00:00,64.99971169841140
buvis/clusters,buvis-clusters.tar.gz,kyverno,cluster-home/operations/kube-tools/kyverno/policies/remove-cpu-limits.yaml,21.0,2022-01-17 21:34:41+01:00,2023-04-04 13:40:56+02:00,2025-06-10 07:52:40+00:00,35.63047491920350
ryan-mcd/gitops-home-cluster,ryan-mcd-gitops-home-cluster.tar.gz,kyverno,cluster/apps/kyverno/policies/add-ndots.yaml,14.0,2021-07-25 21:45:12-04:00,2022-11-09 04:28:46+00:00,2025-06-07 03:19:43+00:00,33.36343408978990
open-cluster-management-io/policy-collection,open-cluster-management-io-policy-collection.tar.gz,kyverno,policygenerator/kustomize/policy3_kyverno/kyverno.yaml,223.0,2020-06-17 16:49:06-04:00,2022-01-17 15:11:42-05:00,2025-05-29 17:46:16+00:00,32.04287281914740
ministryofjustice/modernisation-platform-environments,ministryofjustice-modernisation-platform-environments.tar.gz,opa,policies/terraform/deny.rego,39.0,2021-04-20 09:45:28+01:00,2021-06-10 16:24:17+01:00,2025-06-10 16:08:06+00:00,3.3906437641071500
azure/bicep-registry-modules,Azure-bicep-registry-modules.tar.gz,azure,avm/ptn/aca-lza/hosting-environment/modules/policy/policy-definitions/aca-no-monitoring.json,622.0,2022-01-13 16:13:10-08:00,2024-08-07 18:32:54+02:00,2025-06-27 17:24:11+00:00,74.29749304437450
