,repo_id,path,ref,size,technology,id
0,105808767,tools/@aws-cdk/security-guardian/rules/trust_scope_rules.guard,561f24ffbc54de9fc21acc49c11a8e988718f26e,1074,cloudformation-guard,105808767
1,271888852,guard/resources/validate/comments.guard,0302134e79559a672b3d215a72386ae1a315828d,21,cloudformation-guard,271888852
2,608128360,rules/control-tower/cfn-guard/s3/ct-s3-pr-1.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,4239,cloudformation-guard,608128360
3,185874127,internal/cmd/build/tmpl/scripts/rules.guard,251173dfabc5d5120e38a34160483839683e29ea,214704,cloudformation-guard,185874127
4,521233050,cloudformation/rules.guard,a507d81b3396bd0f4f489c3ef06d8f73dffff478,2593,cloudformation-guard,521233050
6,608128360,rules/control-tower/cfn-guard/s3/ct-s3-pr-5.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,2582,cloudformation-guard,608128360
7,608128360,rules/control-tower/cfn-guard/rds/ct-rds-pr-24.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,4356,cloudformation-guard,608128360
8,608128360,rules/control-tower/cfn-guard/identityandaccessmanagement/ct-iam-pr-4.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,5645,cloudformation-guard,608128360
9,271888852,guard/resources/parse-tree/rules-dir/rule_with_this_keyword.guard,0302134e79559a672b3d215a72386ae1a315828d,660,cloudformation-guard,271888852
10,608128360,rules/control-tower/cfn-guard/opensearchservice/ct-opensearch-pr-7.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,5771,cloudformation-guard,608128360
14,271888852,guard/resources/validate/functions/rules/json_parse.guard,0302134e79559a672b3d215a72386ae1a315828d,555,cloudformation-guard,271888852
15,271888852,guard/resources/validate/functions/rules/join.guard,0302134e79559a672b3d215a72386ae1a315828d,438,cloudformation-guard,271888852
16,608128360,rules/control-tower/cfn-guard/elasticache/ct-elasticache-pr-4.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,3908,cloudformation-guard,608128360
18,608128360,rules/control-tower/cfn-guard/elasticloadbalancing/ct-elasticloadbalancing-pr-12.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,5381,cloudformation-guard,608128360
19,608128360,rules/control-tower/cfn-guard/ec2autoscaling/ct-autoscaling-pr-4.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,4370,cloudformation-guard,608128360
20,608128360,rules/control-tower/cfn-guard/lambda/ct-lambda-pr-5.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,2862,cloudformation-guard,608128360
21,608128360,rules/control-tower/cfn-guard/codebuild/ct-codebuild-pr-5.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,5350,cloudformation-guard,608128360
22,608128360,rules/control-tower/cfn-guard/s3/ct-s3-pr-3.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,3925,cloudformation-guard,608128360
23,608128360,rules/control-tower/cfn-guard/emr/ct-emr-pr-2.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,8051,cloudformation-guard,608128360
24,608128360,rules/control-tower/cfn-guard/cloudfront/ct-cloudfront-pr-6.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,5913,cloudformation-guard,608128360
25,608128360,rules/control-tower/cfn-guard/cloudfront/ct-cloudfront-pr-1.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,3178,cloudformation-guard,608128360
26,271888852,guard/resources/validate/functions/rules/join_with_message.guard,0302134e79559a672b3d215a72386ae1a315828d,316,cloudformation-guard,271888852
27,608128360,rules/control-tower/cfn-guard/elasticloadbalancing/ct-elasticloadbalancing-pr-15.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,4539,cloudformation-guard,608128360
28,608128360,rules/control-tower/cfn-guard/cloudfront/ct-cloudfront-pr-4.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,4227,cloudformation-guard,608128360
29,608128360,rules/control-tower/cfn-guard/efs/ct-elasticfilesysystem-pr-2.guard,f250f4bf021a35f91dfa4090226df0c51f786c82,2908,cloudformation-guard,608128360
