repo_name,archive_name
porter-dev/porter-archive,porter-dev-porter-archive.tar.gz
suxess-it/kubriX,suxess-it-kubriX.tar.gz
sapcc/gatekeeper-addons,sapcc-gatekeeper-addons.tar.gz
nulldriver/cf-cli-resource,nulldriver-cf-cli-resource.tar.gz
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz
c0c0n3/kitt4sme,c0c0n3-kitt4sme.tar.gz
haraldkoch/kochhaus-home,haraldkoch-kochhaus-home.tar.gz
evry-ace/helm-charts,evry-ace-helm-charts.tar.gz
kuberise/kuberise.io,kuberise-kuberise.io.tar.gz
aquasecurity/chain-bench,aquasecurity-chain-bench.tar.gz
trevorbox/service-mesh-patterns,trevorbox-service-mesh-patterns.tar.gz
NightProgrammers/devops-research,NightProgrammers-devops-research.tar.gz
getupcloud/helm-charts,getupcloud-helm-charts.tar.gz
Azure/ShieldGuard,Azure-ShieldGuard.tar.gz
Azure/aca-landing-zone-accelerator,Azure-aca-landing-zone-accelerator.tar.gz
kubebb/components,kubebb-components.tar.gz
cisagov/ScubaGear,cisagov-ScubaGear.tar.gz
sighupio/container-signature-enforcer,sighupio-container-signature-enforcer.tar.gz
Azure/avdaccelerator,Azure-avdaccelerator.tar.gz
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz
SamYuan1990/Probe,SamYuan1990-Probe.tar.gz
holaplex/hub-permissions,holaplex-hub-permissions.tar.gz
clayrisser/charts,clayrisser-charts.tar.gz
nais/aivenator,nais-aivenator.tar.gz
gepaplexx/gp-helm-chart-development,gepaplexx-gp-helm-chart-development.tar.gz
kondukto-io/kntrl,kondukto-io-kntrl.tar.gz
concourse/ci,concourse-ci.tar.gz
tenable/terrascan,tenable-terrascan.tar.gz
binxio/aws-cfn-update,binxio-aws-cfn-update.tar.gz
hashicorp-services/enablement-terraform-lab-modules,hashicorp-services-enablement-terraform-lab-modules.tar.gz
oracle-devrel/cd3-automation-toolkit,oracle-devrel-cd3-automation-toolkit.tar.gz
AlexRogalskiy/javascript-patterns,AlexRogalskiy-javascript-patterns.tar.gz
open-policy-agent/gatekeeper,open-policy-agent-gatekeeper.tar.gz
sudoersllc/opsbox-rego,sudoersllc-opsbox-rego.tar.gz
ismailbay/k8s-dev-stack,ismailbay-k8s-dev-stack.tar.gz
buvis/clusters,buvis-clusters.tar.gz
ryan-mcd/gitops-home-cluster,ryan-mcd-gitops-home-cluster.tar.gz
redhat-cop/gitops-catalog,redhat-cop-gitops-catalog.tar.gz
open-cluster-management-io/policy-collection,open-cluster-management-io-policy-collection.tar.gz
ministryofjustice/modernisation-platform-environments,ministryofjustice-modernisation-platform-environments.tar.gz
Azure/bicep-registry-modules,Azure-bicep-registry-modules.tar.gz
davidclin/cloudcustodian-policies,davidclin-cloudcustodian-policies.tar.gz
debate-map/app,debate-map-app.tar.gz
replicatedhq/kURL,replicatedhq-kURL.tar.gz
BeryJu/k8s,BeryJu-k8s.tar.gz
konflux-ci/konflux-test,konflux-ci-konflux-test.tar.gz
Azure/AzureMonitorStarterPacks,Azure-AzureMonitorStarterPacks.tar.gz
vinod827/cloudkit-lab,vinod827-cloudkit-lab.tar.gz
AlexRogalskiy/wotd,AlexRogalskiy-wotd.tar.gz
Cray-HPE/cray-opa-gatekeeper,Cray-HPE-cray-opa-gatekeeper.tar.gz
open-policy-agent/library,open-policy-agent-library.tar.gz
kubesphere/kubesphere,kubesphere-kubesphere.tar.gz
dlcowen/sansfor509,dlcowen-sansfor509.tar.gz
axeII/home-ops,axeII-home-ops.tar.gz
hashicorp/terraform-guides,hashicorp-terraform-guides.tar.gz
networkservicemesh/sdk,networkservicemesh-sdk.tar.gz
GoogleCloudPlatform/blueprints,GoogleCloudPlatform-blueprints.tar.gz
